name,competitor_type,sub_category,lat,lon,visible
Sardar Patel High School,schools,Secondary & High School,22.99199,72.60004,True
Shree Ambica Trading Co,schools,General Educational School,22.98865,72.60033,True
Likha Preschool,schools,Primary & Pre-School,22.98635,72.60141,True
Bhavna Raval Commerce Classes,schools,Coaching & Entrance Institute,22.98822,72.60167,True
Nelson's International School,schools,International School,22.9919,72.60124,True
Anand Niketan Play School,schools,Secondary & High School,22.99207,72.60103,True
Gyandeep Classes,schools,Coaching & Entrance Institute,22.99533,72.60118,True
Sri Sheth Hirabhai Kanya Vidyalaya,schools,Secondary & High School,22.99465,72.60095,True
Math Tuition Classes Cuemath,schools,Coaching & Entrance Institute,22.99757,72.60106,True
Gainers Academy,schools,General Educational School,22.99931,72.60135,True
Guru Darpan School,schools,Secondary & High School,22.99825,72.60192,True
Khodiyar CAD Center - Maninagar,schools,General Educational School,22.99825,72.60192,True
HorizonCore InfoSoft Private Limited,schools,General Educational School,22.995,72.60226,True
Funny bunny school,schools,Secondary & High School,22.99886,72.60221,True
Horizon English School,schools,Secondary & High School,22.99806,72.60247,True
R K Group Tution,schools,Coaching & Entrance Institute,22.9976,72.60273,True
Act Computer Education,schools,General Educational School,22.99796,72.60259,True
Shree D C Shah Primary School,schools,Primary & Pre-School,22.99841,72.60249,True
